C1:4
C2:3
C3:2
C4:2
C5:2
C6:1
C7:1
D1:4
D2:2
D3:2
D4:1
D5:1
D6:1
FB1:1
G***:6
IC1:1
J1:4
J2:4
J3:2
J4:1
J5:1
JP1:3
JP2:3
Q1:2
Q2:1
R1:4
R10:1
R11:1
R12:1
R2:4
R3:2
R4:2
R5:2
R6:2
R7:2
R8:2
R9:1
REF**:15
SW1:1
TP1:1
TP2:1
TP3:1
TP4:1
TP5:1
U1:4
U2:2
U3:1
U4:1
