3.212655424000000000e+09;5.258200000000000074e+01;-6.600199999999999534e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.173999999999999488e+00;1.024433999999999969e+03
3.212661232000000000e+09;5.258200000000000074e+01;-6.587999999999999545e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.173999999999999488e+00;1.024433999999999969e+03
3.212667960000000000e+09;5.246000000000000085e+01;-6.587999999999999545e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212675051000000000e+09;5.246000000000000085e+01;-6.587999999999999545e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212680099000000000e+09;5.246000000000000085e+01;-6.600199999999999534e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212686821000000000e+09;5.246000000000000085e+01;-6.600199999999999534e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212695219000000000e+09;5.246000000000000085e+01;-6.600199999999999534e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212700216000000000e+09;5.246000000000000085e+01;-6.600199999999999534e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212706947000000000e+09;5.246000000000000085e+01;-6.612399999999999523e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212715343000000000e+09;5.246000000000000085e+01;-6.612399999999999523e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212720338000000000e+09;5.246000000000000085e+01;-6.612399999999999523e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212728515000000000e+09;5.246000000000000085e+01;-6.612399999999999523e+01;1.010282000000000039e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212735248000000000e+09;5.246000000000000085e+01;-6.612399999999999523e+01;1.010282000000000039e+03;-1.781200000000000117e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212740253000000000e+09;5.246000000000000085e+01;-6.624599999999999511e+01;1.010282000000000039e+03;-1.781200000000000117e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212746980000000000e+09;5.246000000000000085e+01;-6.624599999999999511e+01;1.010282000000000039e+03;-1.781200000000000117e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212755375000000000e+09;5.246000000000000085e+01;-6.624599999999999511e+01;1.010282000000000039e+03;-1.781200000000000117e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212760374000000000e+09;5.246000000000000085e+01;-6.612399999999999523e+01;1.010282000000000039e+03;-1.781200000000000117e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212767101000000000e+09;5.246000000000000085e+01;-6.600199999999999534e+01;1.010403999999999996e+03;-1.781200000000000117e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212775497000000000e+09;5.246000000000000085e+01;-6.600199999999999534e+01;1.010403999999999996e+03;-1.781200000000000117e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212781813000000000e+09;5.246000000000000085e+01;-6.587999999999999545e+01;1.010282000000000039e+03;-1.781200000000000117e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212787758000000000e+09;5.246000000000000085e+01;-6.575799999999999557e+01;1.010403999999999996e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212797065000000000e+09;5.246000000000000085e+01;-6.575799999999999557e+01;1.010403999999999996e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024311999999999898e+03
3.212806372000000000e+09;5.246000000000000085e+01;-6.587999999999999545e+01;1.010403999999999996e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024433999999999969e+03
3.212816524000000000e+09;5.246000000000000085e+01;-6.587999999999999545e+01;1.010403999999999996e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024433999999999969e+03
3.212826678000000000e+09;5.258200000000000074e+01;-6.600199999999999534e+01;1.010525999999999954e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024433999999999969e+03
3.212836829000000000e+09;5.258200000000000074e+01;-6.600199999999999534e+01;1.010648000000000025e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024433999999999969e+03
3.212846980000000000e+09;5.258200000000000074e+01;-6.600199999999999534e+01;1.010525999999999954e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024433999999999969e+03
3.212856755000000000e+09;5.258200000000000074e+01;-6.600199999999999534e+01;1.010282000000000039e+03;-1.805600000000000094e+01;8.051999999999999602e+00;1.024556000000000040e+03
3.212866944000000000e+09;5.258200000000000074e+01;-6.600199999999999534e+01;1.010403999999999996e+03;-1.793400000000000105e+01;8.051999999999999602e+00;1.024556000000000040e+03
3.212876257000000000e+09;5.270400000000000063e+01;-6.600199999999999534e+01;1.010403999999999996e+03;-1.793400000000000105e+01;8.173999999999999488e+00;1.024678000000000111e+03
3.212886411000000000e+09;5.282600000000000051e+01;-6.600199999999999534e+01;1.010403999999999996e+03;-1.793400000000000105e+01;8.173999999999999488e+00;1.024678000000000111e+03
3.212896565000000000e+09;5.282600000000000051e+01;-6.600199999999999534e+01;1.010403999999999996e+03;-1.793400000000000105e+01;8.173999999999999488e+00;1.024556000000000040e+03
